phase_name,phase_idx,step,state,action,action_name,reward,next_state
addiction,1,693,12,8,aw,-1.2,13
addiction,1,694,13,7,ad,-1.2,14
addiction,1,695,14,8,aw,-1.2,13
addiction,1,696,13,4,as6,-1.2,13
addiction,1,697,13,7,ad,-1.2,12
addiction,1,698,12,4,as6,-1.2,12
addiction,1,699,12,3,as5,-1.2,12
addiction,1,700,12,2,as4,-1.2,12
addiction,1,701,12,7,ad,-1.2,13
addiction,1,702,13,7,ad,-1.2,14
addiction,1,703,14,8,aw,-4.0,3
addiction,1,704,3,6,ag,0.0,3
addiction,1,705,3,3,as5,0.0,4
addiction,1,706,4,4,as6,0.0,5
addiction,1,707,5,5,as7,0.0,6
addiction,1,708,6,7,ad,10.0,7
addiction,1,709,7,7,ad,-1.2,8
addiction,1,710,8,7,ad,-1.2,9
addiction,1,711,9,8,aw,-1.2,10
addiction,1,712,10,8,aw,-1.2,9
addiction,1,713,9,3,as5,-1.2,9
addiction,1,714,9,6,ag,-1.2,9
addiction,1,715,9,4,as6,-1.2,9
addiction,1,716,9,0,as2,-1.2,9
addiction,1,717,9,4,as6,-1.2,9
addiction,1,718,9,7,ad,-1.2,10
addiction,1,719,10,3,as5,-1.2,10
addiction,1,720,10,8,aw,-1.2,9
addiction,1,721,9,8,aw,-1.2,10
addiction,1,722,10,8,aw,-1.2,11
addiction,1,723,11,7,ad,-1.2,12
addiction,1,724,12,8,aw,-1.2,13
addiction,1,725,13,1,as3,-1.2,13
addiction,1,726,13,5,as7,-1.2,13
addiction,1,727,13,7,ad,-1.2,14
addiction,1,728,14,0,as2,-1.2,14
addiction,1,729,14,8,aw,-4.0,3
addiction,1,730,3,3,as5,0.0,4
addiction,1,731,4,4,as6,0.0,5
addiction,1,732,5,6,ag,0.0,5
addiction,1,733,5,5,as7,0.0,6
addiction,1,734,6,4,as6,0.0,5
addiction,1,735,5,5,as7,0.0,6
addiction,1,736,6,7,ad,10.0,7
addiction,1,737,7,1,as3,-1.2,7
addiction,1,738,7,7,ad,-1.2,21
addiction,1,739,21,7,ad,-1.2,20
addiction,1,740,20,8,aw,-1.2,19
addiction,1,741,19,3,as5,-1.2,19
addiction,1,742,19,7,ad,-1.2,18
addiction,1,743,18,0,as2,-1.2,18
addiction,1,744,18,2,as4,-1.2,18
addiction,1,745,18,5,as7,-1.2,18
addiction,1,746,18,2,as4,-1.2,18
addiction,1,747,18,6,ag,-1.2,18
addiction,1,748,18,0,as2,-1.2,18
addiction,1,749,18,8,aw,-1.2,17
addiction,1,750,17,0,as2,-1.2,17
addiction,1,751,17,0,as2,-1.2,17
addiction,1,752,17,2,as4,-1.2,17
addiction,1,753,17,7,ad,-1.2,16
addiction,1,754,16,8,aw,-1.2,17
addiction,1,755,17,7,ad,-1.2,18
